set,batch,rack_position,run_order,tube_sample,genotype,wormgrowth_sample_name,Solvent,parameters
2,4,D1,83,nmr78,RB2347,aos116_ga_ms2,CDCl3,proton
2,4,D2,84,nmr79,PD1074,aos113_ga_ms1,CDCl3,proton
2,4,D3,85,nmr80,VC1265,aos125_ga_ms2,CDCl3,proton
2,4,D4,86,nmr81,KJ550,aos134_ga_ms2,CDCl3,proton
2,4,D5,87,nmr82,PD1074,aos140_ga_ms3,CDCl3,proton
2,4,D6,88,nmr83,RB2347,aos171_ga_ms2,CDCl3,proton
2,4,D7,89,nmr84,PD1074,aos180_ga_ms2,CDCl3,proton
2,4,D8,90,pooled_mutant,pooled_mutant,pooled_mutant,CDCl3,proton
2,4,D9,91,pooled_pd1074,pooled_pd1074,pooled_pd1074,CDCl3,proton
2,4,D10,92,nmr64,solera,solera,CDCl3,proton
2,4,D11,93,nmr63,extraction_blank_cdcl3,extraction_blank_cdcl3,CDCl3,proton
2,4,D12,94,solvent_blank,solvent_cdcl3,solvent_cdcl3,CDCl3,proton
3,5,A1,95,solvent_blank,solvent_d20,solvent_d20,D2O,noesypr1d
3,5,A2,96,nmr85,extraction_blank_d20,extraction_blank_d20,D2O,noesypr1d
3,5,A3,97,nmr86,solera,solera,D2O,noesypr1d
3,5,A4,98,nmr87,VC2524,aos85_ga_ms3,D2O,noesypr1d
3,5,A5,99,nmr88,PD1074,aos181_ga_ms2,D2O,noesypr1d
3,5,A6,100,nmr89,UGT60,aos193_ga_ms3,D2O,noesypr1d
3,5,A7,101,nmr90,PD1074,aos196_ga_ms2,D2O,noesypr1d
3,5,A8,102,nmr91,RB2055,aos26_ga_ms2,D2O,noesypr1d
3,5,A9,103,nmr92,UGT49,aos39_ga_ms2,D2O,noesypr1d
3,5,A10,104,nmr93,PD1074,aos41_ga_ms2,D2O,noesypr1d
3,5,A11,105,nmr94,UGT60,aos33_ga_ms2,D2O,noesypr1d
3,5,A12,106,nmr95,PD1074,aos44_ga_ms2,D2O,noesypr1d
3,5,B1,107,nmr96,VC2524,aos47_ga_ms2,D2O,noesypr1d
3,5,B2,108,nmr97,UGT49,aos49_ga_ms2,D2O,noesypr1d
3,5,B3,109,nmr98,AUM2073,aos51_ga_ms2,D2O,noesypr1d
3,5,B4,110,nmr99,RB2055,aos45_ga_ms2,D2O,noesypr1d
3,5,B5,111,nmr100,PD1074,aos54_ga_ms4,D2O,noesypr1d
3,5,B6,112,nmr101,UGT60,aos66_ga_ms2,D2O,noesypr1d
3,5,B7,113,nmr102,VC2524,aos70_ga_ms2,D2O,noesypr1d
3,5,B8,114,nmr103,PD1074,aos69_ga_ms3,D2O,noesypr1d
3,5,B9,115,nmr104,PD1074,aos75_ga_ms4,D2O,noesypr1d
3,5,B10,116,nmr105,AUM2073,aos79_ga_ms2,D2O,noesypr1d
3,5,B11,117,nmr106,RB2055,aos83_ga_ms2,D2O,noesypr1d
3,5,B12,118,nmr107,PD1074,aos87_ga_ms3,D2O,noesypr1d
3,5,C1,119,nmr108,AUM2073,aos91_ga_ms2,D2O,noesypr1d
3,5,C2,120,solvent_blank,solvent_d20,solvent_d20,D2O,noesypr1d
3,6,C3,121,nmr111,UGT49,aos101_ga_ms2,D2O,noesypr1d
3,6,C4,122,nmr112,PD1074,aos102_ga_ms3,D2O,noesypr1d
3,6,C5,123,nmr113,VC2524,aos105_co_ms2,D2O,noesypr1d
3,6,C6,124,nmr114,PD1074,aos113_ga_ms1,D2O,noesypr1d
3,6,C7,125,nmr115,RB2055,aos114_ga_ms2,D2O,noesypr1d
3,6,C8,126,nmr116,RB2055,aos118_ga_ms2,D2O,noesypr1d
3,6,C9,127,nmr117,AUM2073,aos120_ga_ms2,D2O,noesypr1d
3,6,C10,128,nmr118,UGT49,aos133_ga_ms2,D2O,noesypr1d
3,6,C11,129,nmr119,AUM2073,aos135_ga_ms2,D2O,noesypr1d
3,6,C12,130,nmr120,PD1074,aos140_gt_ms3,D2O,noesypr1d
3,6,D1,131,nmr121,UGT49,aos166_ga_ms2,D2O,noesypr1d
3,6,D2,132,nmr122,PD1074,aos167_ga_ms4,D2O,noesypr1d
3,6,D3,133,nmr123,AUM2073,aos169_ga_ms2,D2O,noesypr1d
3,6,D4,134,nmr124,RB2055,aos197_ga_ms1,D2O,noesypr1d
3,6,D5,135,nmr125,PD1074,aos196_ga_ms3,D2O,noesypr1d
3,6,D6,136,nmr126,UGT60,aos193_ga_ms2,D2O,noesypr1d
3,6,D7,137,nmr127,PD1074,aos198_ga_ms2,D2O,noesypr1d
3,6,D8,138,nmr128,UGT49,aos88_ga_ms2,D2O,noesypr1d
3,6,D9,139,nmr129,VC2524,aos94_ga_ms2,D2O,noesypr1d
3,6,D10,140,nmr130,VC2524,aos85_ga_ms2,D2O,noesypr1d
