UniqueID,rank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks_ppm_,medianAbsoluteMassErrorFragmentPeaks_ppm_,massErrorPrecursor_ppm_,ionMass,retentionTimeInSeconds,id,ms2_id,num_strains_sig
met_3687,207,C47H84NO9P,[M - H]-,C47H84NO9P,1,16.89574685,16.89574685,0,8,0.48002484,-2.622230302,2.622230302,2.278977807,836.583,286.49,961_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime286.49scanNumNApre,961,3
met_3716,347,C49H93NO9,[M - H]-,C49H93NO9,1,1,1,0,1,0,NaN,NaN,-1.737385341,838.6763,437.45,977_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime437.45scanNumNApre,977,3
met_3740,846,C55H68O7,[M - H]-,C55H68O7,0.682914573,6,6,0,1,0,NaN,NaN,-0.629030396,839.4887,164.44,978_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime164.44scanNumNApre,978,1
met_3762,429,C21H42O,[M - H]-,C21H42O,0.99798995,6,6,0,1,0,NaN,NaN,1.003787351,309.3166,211.05,392_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime211.05scanNumNApre,392,2
met_3791,246,C44H89NO5,[M - H]-,C44H89NO5,1,13.30825151,13.30825151,0,4,0.23115942,-5.974196802,5.974196802,0.564967808,710.6672,427.44,176_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime427.44scanNumNApre,176,2
met_3806,619,C42H80NO7P,[M - H]-,C42H80NO7P,0.961306533,8.75344153,8.75344153,0,3,0.640025239,-1.295096645,1.295096645,1.938964265,740.5614,341.66,315_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime341.66scanNumNApre,315,4
met_3829,384,C43H80NO7P,[M - H]-,C43H80NO7P,0.999497487,8.344404505,8.344404505,0,6,0.617919007,-3.104633418,3.104633418,0.446372325,752.5603,349.74,390_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime349.74scanNumNApre,390,2
met_3831,381,C43H86NO10P,[M - H]-,C43H86NO10P,0.999497487,10.63968029,10.63968029,0,4,0.472012439,-1.673796112,1.673796112,1.291692933,806.5927,315.97,743_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime315.97scanNumNApre,743,1
met_3834,452,C49H79NO6,[M - H]-,C49H79NO6,0.995979899,4.367263834,4.367263834,0,3,0.308744504,-2.207037201,2.207037201,1.464366008,776.5846,328.82,532_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime328.82scanNumNApre,532,4
met_3863,1200,C21H44NO7P,[M - H]-,C21H44NO7P,0.274371859,10.50810534,10.50810534,0,2,0.325835037,-2.953435771,2.953435771,1.187484557,452.2788,121.53,1157_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime121.53scanNumNApre,1157,5
