UniqueID,rank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks_ppm_,medianAbsoluteMassErrorFragmentPeaks_ppm_,massErrorPrecursor_ppm_,ionMass,retentionTimeInSeconds,id,ms2_id,num_strains_sig
met_492,314,C19H37NO4,[M + H]+,C19H37NO4,1,10.52085355,10.52085355,0,5,0.904802022,-3.244622461,3.244622461,0.478924286,344.2797,187.71,756_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime187.71scanNumNApre,756,0
met_500,365,C18H20N2O3,[M + H]+,C18H20N2O3,0.998492462,13.70141508,13.70141508,0,4,1,-2.739813341,2.739813341,-1.816843817,313.1541,291.78,700_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime291.78scanNumNApre,700,0
met_503,737,C34H61N3O5,[M + K]+,C34H61N3O5,0.054773869,1,1,0,1,0,NaN,NaN,0.031483414,630.4243,334.25,238_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime334.25scanNumNApre,238,0
met_510,683,C11H24N6O6P2,[M + H]+,C11H24N6O6P2,0.281909548,17.99174114,17.99174114,0,12,1,-1.7737824,1.7737824,-3.588312881,399.1291,518.51,79_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime518.51scanNumNApre,79,0
met_526,477,C20H31FN2O8,[M + Na]+,C20H31FN2O8,0.959296482,21.2202397,21.2202397,0,8,0.928766057,-0.844895267,2.030393243,1.779910782,469.1965,142.92,156_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime142.92scanNumNApre,156,0
met_559,292,C12H24N2O3,[M + H]+,C12H24N2O3,1,13.80529225,13.80529225,0,5,1,-3.784191044,3.784191044,-0.281745771,245.1859,284.08,536_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime284.08scanNumNApre,536,0
met_567,50,C7H15N3O3,[M + H]+,C7H15N3O3,1,62.49132877,62.49132877,0,16,0.995910395,-2.329239791,2.329239791,-0.093584165,190.1186,505.69,408_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime505.69scanNumNApre,408,0
met_595,439,C17H26N4O8,[M + H]+,C17H26N4O8,0.980904523,20.72342824,20.72342824,0,7,0.965252255,-3.142478828,3.142478828,-0.096931132,415.1823,533.11,102_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime533.11scanNumNApre,102,0
met_604,474,C17H30N2O12,[M + H]+,C17H30N2O12,0.960301508,27.14474954,27.14474954,0,9,0.951264088,-2.901793924,2.901793924,-0.770787049,455.1868,537.9,143_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime537.9scanNumNAprec,143,0
met_617,618,C14H16O8,[M + Na]+,C14H16O8,0.505025126,6,6,0,1,0,NaN,NaN,-0.710805511,335.0735,559,738_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime559scanNumNAprecMz,738,0
met_619,121,C10H18N4O5,[M + H]+,C10H18N4O5,1,42.84183044,42.84183044,0,11,1,-2.794378477,2.794378477,0.377530564,275.1351,533.88,606_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime533.88scanNumNApre,606,0
met_654,14,C11H20N2O4,[M + H]+,C11H20N2O4,1,94.71013166,94.71013166,0,33,0.708912727,-3.692411041,3.692411041,0.474925768,245.1497,170.92,535_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime170.92scanNumNApre,535,0
met_686,747,C15H25N2O9PS,[M + H]+,C15H25N2O9PS,0.016080402,6.908855053,6.908855053,0,3,1,-2.989314127,2.989314127,2.914322377,441.1104,561.22,132_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime561.22scanNumNApre,132,0
met_691,440,C8H14O7,[M + K]+,C8H14O7,0.979396985,60.87848239,60.87848239,0,12,1,-2.804965789,2.804965789,-0.424798364,261.037,549.05,575_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime549.05scanNumNApre,575,0
met_700,688,C28H41N5,[M + H]+,C28H41N5,0.266331658,1,1,0,1,0,NaN,NaN,-3.061867468,448.3421,180.66,141_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime180.66scanNumNApre,141,0
met_714,125,C12H14N2O2,[M + H]+,C12H14N2O2,1,42.38784837,42.38784837,0,7,0.699521451,-1.674862058,1.674862058,-0.475280942,219.1127,275.93,472_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime275.93scanNumNApre,472,0
met_733,37,C6H10N2O5,[M + H]+,C6H10N2O5,1,70.77754967,70.77754967,0,21,0.997023862,-2.28324442,2.28324442,-0.77393159,191.0661,534.11,412_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime534.11scanNumNApre,412,0
met_760,469,C12H25NO11,[M + H]+,C12H25NO11,0.963819095,88.8498572,88.8498572,0,22,0.997583828,-3.352429029,3.352429029,-0.380597331,360.1499,521.25,11_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime521.25scanNumNApre,11,0
met_782,81,C11H24N4O2,[M + H]+,C11H24N4O2,1,54.26914152,54.26914152,0,8,0.867423015,-3.644750983,3.644750983,0.397801727,245.1973,527.57,537_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime527.57scanNumNApre,537,0
met_798,235,C15H23N5O4,[M + H]+,C15H23N5O4,1,23.56960127,23.56960127,0,9,1,-3.596694393,3.596694393,-0.238534407,338.1822,529.86,746_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime529.86scanNumNApre,746,0
met_828,348,C15H23N3O4,[M + H]+,C15H23N3O4,0.999497487,45.1174502,45.1174502,0,9,0.922908179,-2.780362054,3.462468457,0.539473549,310.1763,532.76,697_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime532.76scanNumNApre,697,0
met_845,742,C18H14IN5O,[M + H]+,C18H14IN5O,0.036683417,5.679650924,5.679650924,0,2,0.597389558,-4.513022114,4.513022114,-1.091185033,444.0311,583.48,135_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime583.48scanNumNApre,135,0
met_854,323,C9H16BNO2,[M + H]+,C9H16BNO2,1,8.593034796,8.593034796,0,3,0.039002624,3.356130785,3.356130785,3.769458314,181.139,539.38,381_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime539.38scanNumNApre,381,0
met_86,547,C10H15N3O5,[M + H]+,C10H15N3O5,0.827135678,11.6681498,11.6681498,0,3,0.989244739,-3.030677556,3.030677556,0.205215673,258.1085,272.43,565_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime272.43scanNumNApre,565,0
met_865,679,C8H13N5,[M + Na]+,C8H13N5,0.295477387,1,1,0,1,0,NaN,NaN,3.383771515,202.107,136.8,432_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime136.8scanNumNAprec,432,0
met_877,613,C5H5N5O,[M + K]+,C5H5N5O,0.517085427,0.795471513,0.795471513,0,1,0,-2.462369978,2.462369978,-0.357240132,190.0125,339.77,407_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime339.77scanNumNApre,407,0
met_886,511,C15H23N3O10,[M + H]+,C15H23N3O10,0.904522613,18.99007374,18.99007374,0,3,0.727954972,-1.994009557,1.994009557,-0.542633477,406.1454,531.33,91_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime531.33scanNumNApre,91,0
met_887,664,C29H57N5O7,[M + H]+,C29H57N5O7,0.377889447,3.270180759,3.270180759,0,2,1,-2.22473924,2.22473924,-3.017541879,588.4313,60.73,225_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime60.73scanNumNAprec,225,0
met_9,138,C12H26O3,[M + H]+,C12H26O3,1,40.99519148,40.99519148,0,10,0.857744995,-3.096355694,3.096355694,0.131644625,219.1955,55.75,475_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime55.75scanNumNAprec,475,0
met_923,755,C11H19N3O8S,[M + H]+,C11H19N3O8S,0.000503,36.83651102,36.83651102,0,12,0.884521739,-1.667398659,1.667398659,-1.02237779,354.0962,513.96,776_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime513.96scanNumNApre,776,0
met_933,174,C10H20N4O4,[M + H]+,C10H20N4O4,1,34.50045937,34.50045937,0,10,0.852276677,-3.094124163,3.094124163,1.410757434,261.1561,473.25,579_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime473.25scanNumNApre,579,0
met_940,418,C13H25NO9,[M + K]+,C13H25NO9,0.987939698,56.82471803,56.82471803,0,25,1,-4.031789776,4.031789776,-0.236647194,378.116,544.46,46_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime544.46scanNumNApre,46,0
